資料,月,版本,TPASS人次,TPASS使用比例%,總使用次數,使用人數,使用人合計日數,天數,平均每日使用次數,單日平均使用次數,全部_僅一次,全部_二至四次,全部_五次以上,全部_僅一次%,全部_五次以上%,TPASS_僅一次,TPASS_二至四次,TPASS_五次以上,TPASS_僅一次%,TPASS_五次以上%
臺東市區,113/12,原,2891,21.01,13757,6019,10691,31,0.074,1.29,3278,2358,383,54.5,6.4,87,84,138,28.2,44.7
臺東市區,114/01,去重,1893,17.31,10935,5295,8620,31,0.067,1.27,3040,1955,300,57.4,5.7,86,85,117,29.9,40.6
臺東市區,114/01,原,1893,17.31,10936,5295,8620,31,0.067,1.27,3039,1956,300,57.4,5.7,86,85,117,29.9,40.6
臺東市區,114/02,去重,1890,18.64,10139,4819,7955,28,0.075,1.27,2766,1741,312,57.4,6.5,82,102,115,27.4,38.5
臺東市區,114/02,原,1890,18.64,10139,4819,7955,28,0.075,1.27,2766,1741,312,57.4,6.5,82,102,115,27.4,38.5
臺東市區,114/03,去重,2715,22.24,12205,5633,9631,31,0.07,1.27,3243,2070,320,57.6,5.7,84,83,136,27.7,44.9
臺東市區,114/03,原,2716,22.25,12206,5633,9631,31,0.07,1.27,3243,2070,320,57.6,5.7,84,83,136,27.7,44.9
臺東市區,114/04,去重,2705,18.81,14381,7040,11638,30,0.068,1.24,3964,2757,319,56.3,4.5,91,115,132,26.9,39.1
臺東市區,114/04,原,2705,18.81,14381,7040,11638,30,0.068,1.24,3964,2757,319,56.3,4.5,91,115,132,26.9,39.1
臺東市區,114/05,去重,2798,18.85,14840,7427,12183,31,0.064,1.22,4355,2752,320,58.6,4.3,102,123,138,28.1,38
臺東市區,114/05,原,2798,18.85,14840,7427,12183,31,0.064,1.22,4355,2752,320,58.6,4.3,102,123,138,28.1,38
臺東市區,114/06,去重,2936,19.4,15131,7551,12270,30,0.067,1.23,4332,2894,325,57.4,4.3,95,128,139,26.2,38.4
臺東市區,114/06,原,2937,19.41,15133,7551,12270,30,0.067,1.23,4331,2895,325,57.4,4.3,95,128,139,26.2,38.4
臺東市區,114/07,去重,1557,12.08,12893,7134,10543,31,0.058,1.22,4293,2585,256,60.2,3.6,98,115,77,33.8,26.6
臺東市區,114/07,原,1559,12.09,12897,7134,10543,31,0.058,1.22,4293,2585,256,60.2,3.6,98,115,77,33.8,26.6
臺東市區,114/08,去重,1441,10.02,14386,8083,11877,31,0.057,1.21,4761,3083,239,58.9,3,138,142,71,39.3,20.2
臺東市區,114/08,原,1441,10.02,14386,8083,11877,31,0.057,1.21,4761,3083,239,58.9,3,138,142,71,39.3,20.2
臺東市區,114/09,去重,2340,19.78,11829,5875,9639,30,0.067,1.23,3417,2152,306,58.2,5.2,102,140,133,27.2,35.5
臺東市區,114/09,原,3432,26.55,12926,5875,9639,30,0.073,1.34,3357,2182,336,57.1,5.7,40,171,164,10.7,43.7
臺東市區,114/10,去重,2897,20.08,14427,7003,11617,31,0.066,1.24,3947,2724,332,56.4,4.7,107,150,146,26.6,36.2
臺東市區,114/10,原,4250,26.93,15782,7003,11617,31,0.073,1.36,3888,2745,370,55.5,5.3,44,176,183,10.9,45.4
