資料,月,列數,旗標列,未刷下車列,重複列,重複列占未刷下車%,重複列占全月%,TPASS列數,TPASS重複列,TPASS重複列占TPASS%,非TPASS重複列
臺東公路,114/01,72020,67,34,0,0,0,22346,0,0,0
臺東公路,114/02,68543,59,28,0,0,0,21890,0,0,0
臺東公路,114/03,86418,49,31,0,0,0,32117,0,0,0
臺東公路,114/04,83594,55,35,0,0,0,30026,0,0,0
臺東公路,114/05,82907,34,17,0,0,0,31039,0,0,0
臺東公路,114/06,77517,42,27,0,0,0,27078,0,0,0
臺東公路,114/07,61430,44,26,0,0,0,15823,0,0,0
臺東公路,114/08,63965,44,25,0,0,0,14398,0,0,0
臺東公路,114/09,78461,39,20,0,0,0,31027,0,0,0
臺東公路,114/10,87936,45,28,1,3.6,0,32689,0,0,1
臺東公路,114/11,35607,36,23,0,0,0,10433,0,0,0
臺東公路,114/12,88727,26,11,0,0,0,34679,0,0,0
臺東公路,115/01,70523,0,0,0,0,0,26380,0,0,0
臺東公路,115/02,56672,0,0,0,0,0,14853,0,0,0
臺東公路,115/03,81699,0,0,0,0,0,33122,0,0,0
臺東公路,115/04,81709,0,0,0,0,0,32328,0,0,0
臺東公路,115/05,77631,0,0,0,0,0,31400,0,0,0
臺東公路,115/06,74525,0,0,0,0,0,29728,0,0,0
