資料,卡號,票種次類型,路線,上車站,上車時間,下車站,下車時間,旗標,重複列
臺東市區,e683bc04,#TTT-299,陸海空線,台東火車站,2025-09-30 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-01 17:00:00,拖吊場,2025-09-01 18:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-01 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-01 18:00:00,開封長安街口,2025-09-01 18:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-01 18:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-02 06:00:00,台東火車站,2025-09-02 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-02 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-02 16:00:00,台東火車站,2025-09-02 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-02 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-03 06:00:00,台東火車站,2025-09-03 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-03 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-03 16:00:00,台東轉運站,2025-09-03 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-03 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-04 06:00:00,台東火車站,2025-09-04 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-04 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-04 16:00:00,台東火車站,2025-09-04 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-04 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-05 06:00:00,台東火車站,2025-09-05 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-05 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-05 16:00:00,台東火車站,2025-09-05 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-05 16:00:00,台東火車站,2025-09-05 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-05 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-05 16:00:00,-99,1970-01-01 00:00:00,1,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-08 06:00:00,台東火車站,2025-09-08 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-08 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-08 16:00:00,台東火車站,2025-09-08 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-08 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-09 06:00:00,台東火車站,2025-09-09 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-09 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-09 16:00:00,拖吊場,2025-09-09 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-09 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-10 06:00:00,台東火車站,2025-09-10 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-10 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-10 16:00:00,台東森林公園,2025-09-10 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-10 16:00:00,棒球場,2025-09-10 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-10 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-10 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
