檔案,分頁,月份,欄位,前值,新值
TPASS使用比例,花蓮市區,114/09,總搭乘人次,33958,30685
TPASS使用比例,花蓮市區,114/10,TPASS搭乘人次,13900,10065
TPASS使用比例,花蓮市區,114/10,TPASS比例,39.6,32.2
TPASS使用比例,花蓮市區,114/10,總搭乘人次,35107,31272
TPASS使用比例,花蓮市區,114/11,總搭乘人次,26905,26904
TPASS使用比例,花蓮市區,114/12,總搭乘人次,30074,30073
平均每日使用次數及其族群分布,TPASS_臺東市區,113/08,二至四次_人數,83,84
平均每日使用次數及其族群分布,TPASS_臺東市區,113/08,五次以上_人數,50,49
平均每日使用次數及其族群分布,TPASS_臺東市區,113/08,五次以上_比例,21.8,21.4
平均每日使用次數及其族群分布,TPASS_臺東市區,114/09,二至四次_人數,171,140
平均每日使用次數及其族群分布,TPASS_臺東市區,114/09,五次以上_人數,164,133
平均每日使用次數及其族群分布,TPASS_臺東市區,114/09,五次以上_比例,43.7,35.5
平均每日使用次數及其族群分布,TPASS_臺東市區,114/09,僅一次_人數,40,102
平均每日使用次數及其族群分布,TPASS_臺東市區,114/09,僅一次_比例,10.7,27.2
平均每日使用次數及其族群分布,TPASS_臺東市區,114/10,二至四次_人數,176,150
平均每日使用次數及其族群分布,TPASS_臺東市區,114/10,五次以上_人數,183,146
平均每日使用次數及其族群分布,TPASS_臺東市區,114/10,五次以上_比例,45.4,36.2
平均每日使用次數及其族群分布,TPASS_臺東市區,114/10,僅一次_人數,44,107
平均每日使用次數及其族群分布,TPASS_臺東市區,114/10,僅一次_比例,10.9,26.6
平均每日使用次數及其族群分布,TPASS_花蓮市區,113/10,二至四次_人數,2106,2105
平均每日使用次數及其族群分布,TPASS_花蓮市區,113/10,僅一次_人數,1544,1545
平均每日使用次數及其族群分布,TPASS_花蓮市區,113/11,二至四次_人數,2382,2381
平均每日使用次數及其族群分布,TPASS_花蓮市區,113/11,僅一次_人數,1761,1762
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/02,二至四次_人數,2012,2011
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/02,僅一次_人數,1351,1352
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/03,二至四次_人數,3197,3196
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/03,僅一次_人數,1992,1993
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/04,二至四次_人數,2765,2764
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/04,僅一次_人數,1976,1977
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/06,二至四次_人數,2397,2396
