資料,月,人數_原,僅一次%_原,五次以上%_原,人次_原,人數_去重,僅一次%_去重,五次以上%_去重,人次_去重
臺東市區,115/01,316,31,32,1956,316,31,32,1956
臺東市區,115/02,280,36.8,20,1014,280,36.8,20,1014
臺東市區,115/03,343,35.3,32.4,2195,343,35.3,32.4,2195
臺東市區,115/04,339,39.2,29.5,1710,339,39.2,29.5,1710
臺東市區,115/05,415,36.1,28.2,2209,415,36.1,28.2,2209
臺東市區,115/06,430,32.6,28.6,2063,430,32.6,28.6,2063
花蓮公路,113/06,613,24.8,43.6,4745,613,24.8,43.6,4743
花蓮公路,113/07,513,28.3,41.7,3577,513,28.3,41.7,3574
花蓮公路,113/08,598,31.3,34.1,3534,598,31.3,34.1,3531
花蓮公路,113/09,699,27.3,45.5,5933,699,27.3,45.5,5933
花蓮公路,113/10,670,27.8,43.4,5382,670,27.8,43.4,5382
花蓮公路,113/11,709,29.3,42.7,6074,709,29.3,42.7,6072
花蓮公路,113/12,708,26.8,44.5,5732,708,26.8,44.5,5732
花蓮公路,114/01,671,29.7,37,4124,671,29.7,37,4124
花蓮公路,114/02,671,29.5,41.3,4591,671,29.5,41.3,4591
花蓮公路,114/03,717,26.4,44.8,6670,717,26.4,44.8,6670
花蓮公路,114/04,727,26.8,43.1,6309,727,26.8,43.1,6309
花蓮公路,114/05,722,26,44.6,6596,722,26,44.6,6596
花蓮公路,114/06,738,29.3,36.9,5807,738,29.3,36.9,5807
花蓮公路,114/07,673,28.1,38.3,4546,673,28.1,38.3,4546
花蓮公路,114/08,695,35.7,32.1,3857,695,35.7,32.1,3857
花蓮公路,114/09,752,24.6,46.3,6525,752,24.6,46.3,6524
花蓮公路,114/10,800,29.5,40.9,6656,800,29.5,40.9,6656
花蓮公路,114/11,675,25.5,48.7,5944,675,25.5,48.7,5944
花蓮公路,114/12,856,31.2,40.8,7096,856,31.2,40.8,7096
花蓮公路,115/01,794,29.7,38.7,5767,794,29.7,38.7,5767
花蓮公路,115/02,744,32,26.7,3223,744,32,26.7,3223
花蓮公路,115/03,796,28.4,43.5,7593,796,28.4,43.5,7593
花蓮公路,115/04,866,29.4,40.9,7084,866,29.4,40.9,7084
花蓮公路,115/05,852,28.8,39.7,6959,852,28.8,39.7,6959
花蓮公路,115/06,839,31.6,36.9,5847,839,31.6,36.9,5847
臺東公路,113/06,1380,7.5,68.3,19238,1380,7.5,68.3,19238
臺東公路,113/07,1228,9.7,59.1,12839,1228,9.7,59.1,12839
臺東公路,113/08,1411,15,54.1,14146,1411,15,54.1,14146
臺東公路,113/09,1791,8.2,71.6,27619,1791,8.2,71.6,27619
臺東公路,113/10,1783,8.2,70.4,25893,1783,8.2,70.4,25893
臺東公路,113/11,1887,7.8,70.7,29542,1887,7.8,70.7,29542
臺東公路,113/12,1899,6.9,73.4,32509,1899,6.9,73.4,32509
臺東公路,114/01,1789,7.7,68.6,22346,1789,7.7,68.6,22346
臺東公路,114/02,1818,8.3,67.6,21890,1818,8.3,67.6,21890
臺東公路,114/03,1967,7.5,73.4,32117,1967,7.5,73.4,32117
臺東公路,114/04,1909,7.4,71.4,30026,1909,7.4,71.4,30026
臺東公路,114/05,1952,6,74.1,31039,1952,6,74.1,31039
臺東公路,114/06,1967,8.1,66.4,27078,1967,8.1,66.4,27078
臺東公路,114/07,1661,12.4,54.7,15823,1661,12.4,54.7,15823
臺東公路,114/08,1651,11.9,54,14398,1651,11.9,54,14398
臺東公路,114/09,2126,8.1,69.1,31027,2126,8.1,69.1,31027
臺東公路,114/10,2231,7.4,70.6,32689,2231,7.4,70.6,32689
臺東公路,114/11,1232,15.2,51.5,10433,1232,15.2,51.5,10433
臺東公路,114/12,2286,8.1,70.6,34679,2286,8.1,70.6,34679
臺東公路,115/01,2173,9.9,63.9,26380,2173,9.9,63.9,26380
臺東公路,115/02,2013,11,54.5,14853,2013,11,54.5,14853
臺東公路,115/03,2190,7.3,69.5,33122,2190,7.3,69.5,33122
臺東公路,115/04,2270,8.3,69.3,32328,2270,8.3,69.3,32328
臺東公路,115/05,2356,9.2,66.1,31400,2356,9.2,66.1,31400
臺東公路,115/06,2334,8.4,67.1,29728,2334,8.4,67.1,29728
