上車站牌名稱,下車站牌名稱,票證數,上序,下序,現行_公里,鏡像_公里
海岸南海十一街口,牛寮坑,21,17,38,19.92,26.62
中華路,高山,21,5,45,38.12,40.29
港口,竹湖國小,21,76,107,36.79,24.84
北東興,豐濱監工站,20,52,59,5.01,3.51
牛寮坑,豐濱,20,38,60,15.19,18.11
中華路,牛寮坑,20,5,38,33.06,31.97
中正國小,新社,20,8,48,36.78,42.05
獅子山,長濱,20,73,95,21.34,17.2
北石梯坪,港口,20,69,72,0.88,3.55
長濱,北八桑安,20,95,105,14.92,7.84
花蓮轉運站,石門休憩區,20,1,64,64.72,54.77
南埔加油站,海岸南海二街口,20,11,14,3.45,1.17
海岸東海十五街口,磯崎,20,12,40,26.67,32.18
花蓮轉運站,城山,20,1,104,105.31,92.27
靜浦,成功,20,84,126,41.58,45.31
中華路,南坑,20,5,35,30.4,26.57
南石梯坪,奚卜蘭遊客中心,20,74,80,4.69,3.37
靜浦,北樟原,19,79,84,4.11,2.11
花蓮轉運站,玉水橋,19,1,114,113.58,101.05
南埔加油站,靜浦,19,11,79,57.55,67.05
靜浦,南樟原,19,79,85,4.46,2.81
花蓮轉運站,富光,19,1,55,50.97,50.13
豐濱監工站,靜浦教會,19,59,78,17.77,19.47
海岸南海一街口,新社,19,13,48,29.32,40.12
中正國小,海岸南海十一街口,19,8,17,10.21,4.1
中福站,成功,19,7,126,109.47,115.93
白守蓮,成功,19,124,126,1.24,4.75
花蓮轉運站,橄樹腳教會,18,1,29,30.94,21.52
仁里橋,海岸南海二街口,18,9,14,6.97,1.8
南埔加油站,海岸南海四街口,18,11,15,4.28,1.54
南埔加油站,大石鼻山步道,18,11,43,29.39,36.9
中華路,月洞,18,5,71,61.13,65.5
明禮國小,三仙台遊憩區,18,4,118,107.65,105.09
豐濱,三仙台遊憩區,18,60,118,59.14,54.29
帝君廟,明禮國小,18,2,4,3.5,0.88
長濱分駐所,寧埔社區,18,96,107,12.1,8
花蓮轉運站,12號橋,18,1,31,32.18,23.24
牛寮坑,豐濱監工站,17,38,59,14.06,17.34
花蓮轉運站,橄樹腳,17,1,30,31.71,22.12
花蓮文創園區(中正),鹽寮,17,6,27,20.31,14.8
吉安分局,水璉,17,10,34,21.65,24.18
南埔加油站,獅子山,17,11,73,53.86,63.89
帝君廟,仁里橋,17,2,9,8.45,3.26
中華路,深橋,17,5,56,43.56,47.93
吉安分局,水璉一街,17,10,33,19.18,23.99
南埔加油站,成功,17,11,126,103.24,114.47
海岸南海十一街口,蕃薯寮休息區,17,17,38,19.92,26.62
長濱鄉公所,寧埔社區,17,103,113,9.51,8.96
新莊,豐濱,16,51,60,6.94,4.54
海岸南海四街口,石梯坪遊憩區,16,15,68,47.26,58.11
吉安分局,北立德,16,10,61,45.52,48.78
豐濱,石梯灣,16,60,66,10.04,6.69
吉安分局,立德,16,10,62,47.3,49.51
明禮國小,靜浦,16,4,79,66.02,70.06
大港口,靜浦國小,16,74,77,1.32,1.78
花蓮轉運站,竹湖國小,16,1,101,102.15,90.48
新社,豐濱,16,48,60,8.53,6.78
花蓮轉運站,葛瑪蘭民宿,16,1,44,45.49,42.33
南埔加油站,港口,16,11,76,55.31,65.46
明禮國小,豐濱,15,4,60,48.51,50.8
北回歸線,北樟原,15,80,84,2.54,1.51
靜浦,大峯村,15,79,83,3.37,1.93
三富橋,三仙台遊憩區,15,81,118,39.5,33.74
花蓮轉運站,界橋,15,1,110,111.41,98.31
