站牌代碼,站序資料,站間距離,累積里程_公里,站名,資料集,搭乘附屬路線名稱,搭乘公車路線方向
295284,3,695.73,1.42,康樂國小,臺東市區,陸海空線C,0
295286,4,617.46,2.04,專科學校,臺東市區,陸海空線C,0
295288,5,1300.89,3.34,縣議會,臺東市區,陸海空線C,0
302767,6,501.93,3.84,東方大鎮,臺東市區,陸海空線C,0
304226,7,450.41,4.29,台東糖廠,臺東市區,陸海空線C,0
295292,8,793.25,5.09,公東高工,臺東市區,陸海空線C,0
299271,9,745.25,5.83,馬蘭榮家,臺東市區,陸海空線C,0
302746,10,919.06,6.75,卑南入口,臺東市區,陸海空線C,0
295296,11,1071.97,7.82,,臺東市區,陸海空線C,0
302748,12,594.59,8.42,拖吊場,臺東市區,陸海空線C,0
295300,13,316.49,8.73,台東火車站,臺東市區,陸海空線C,0
