資料集,月份,圖片標示,里程_A,里程_B,里程_C,里程_D,里程_D2,里程_E,人次_A,人次_B,人次_C,人次_D,人次_D2,人次_E
花蓮市區,115/04,11.5,11.47,11.47,11.41,11.41,11.4,11.4,13580,13580,14121,14121,14121,14121
花蓮市區,115/05,9.2,9.25,9.25,9.47,9.47,9.47,9.47,7720,7720,8336,8336,8336,8336
花蓮市區,115/06,8.1,8.12,8.12,8.4,8.4,8.4,8.4,6371,6371,6904,6904,6904,6904
臺東市區,113/06,8.1,8.08,8.08,7.99,7.99,7.79,7.67,10257,10257,11431,11431,11431,11390
臺東市區,113/07,8.1,8.14,8.14,8.2,8.2,8.05,7.97,10411,10411,11334,11334,11334,11343
臺東市區,113/08,8.2,8.23,8.23,8.29,8.29,8.1,8.04,13275,13275,14487,14487,14487,14507
臺東市區,113/09,7.9,7.93,7.93,7.71,7.71,7.54,7.48,12167,12167,13907,13907,13907,13915
臺東市區,113/10,7.8,7.82,7.82,7.68,7.68,7.44,7.39,11386,11386,12985,12985,12985,12989
臺東市區,113/11,7.4,7.4,7.4,7.31,7.31,7.05,6.99,13317,13317,15455,15455,15455,15459
臺東市區,113/12,7.3,7.31,7.31,7.02,7.02,6.84,6.54,10523,10523,12711,12711,12711,13546
臺東市區,114/01,7.2,7.19,7.19,7,7,6.88,6.65,8812,8812,10383,10383,10383,10807
臺東市區,114/02,7.4,7.41,7.41,7.25,7.25,7.02,6.77,7970,7970,9501,9501,9501,9960
臺東市區,114/03,7.6,7.64,7.64,7.19,7.19,6.98,6.67,9280,9280,11278,11278,11278,12037
臺東市區,114/04,8,7.98,7.98,7.69,7.69,7.45,7.17,11583,11583,13415,13415,13415,14114
臺東市區,114/05,8,7.96,7.96,7.63,7.63,7.5,7.25,11998,11998,14045,14045,14045,14615
臺東市區,114/06,8.1,8.11,8.11,7.76,7.76,7.6,7.42,12376,12376,14582,14582,14582,14883
臺東市區,114/07,8,8.01,8.01,7.9,7.9,7.76,7.69,11204,11204,12621,12621,12621,12627
臺東市區,114/08,8.2,8.15,8.15,8.14,8.14,7.95,7.89,12800,12800,14034,14034,14034,14053
臺東市區,114/09,8,7.97,7.97,7.71,7.71,7.53,7.4,9659,9659,11069,11069,11069,11218
臺東市區,114/10,8,7.96,7.96,7.68,7.68,7.49,7.29,11472,11472,13411,13411,13411,13730
臺東市區,114/11,7.6,7.55,7.55,7.36,7.36,7.36,7.36,11150,11150,11433,11433,11433,11433
臺東市區,114/12,7.2,7.24,7.24,7.07,7.07,7.07,7.07,12962,12962,13272,13272,13272,13272
臺東市區,115/01,7.3,7.29,7.29,7.06,7.06,7.06,7.06,11055,11055,11423,11423,11423,11423
臺東市區,115/02,7.6,7.58,7.58,7.45,7.45,7.45,7.45,10304,10304,10483,10483,10483,10483
臺東市區,115/03,7.5,7.5,7.5,7.3,7.3,7.3,7.3,11742,11742,12073,12073,12073,12073
臺東市區,115/04,7.9,7.93,7.93,7.73,7.73,7.73,7.73,12328,12328,12648,12648,12648,12648
臺東市區,115/05,7.9,7.85,7.85,7.67,7.67,7.67,7.67,15752,15752,16134,16134,16134,16134
臺東市區,115/06,7.9,7.92,7.92,7.69,7.69,7.69,7.69,13127,13127,13533,13533,13533,13533
